timestamp_iso,secs_since_start,java_heap_total_kb,native_heap_total_kb,total_pss_kb,total_rss_kb
2026-05-18T08:30:12Z,0,,,,
2026-05-18T08:31:13Z,61,,,,
2026-05-18T08:32:13Z,121,,,,
2026-05-18T08:33:14Z,182,,,,
2026-05-18T08:34:14Z,242,,,,
2026-05-18T08:35:15Z,303,,,,
2026-05-18T08:36:15Z,363,,,,
2026-05-18T08:37:16Z,424,,,,
2026-05-18T08:38:16Z,484,,,,
2026-05-18T08:39:17Z,545,,,,
2026-05-18T08:40:17Z,605,,184081,434049,284143
2026-05-18T08:41:19Z,667,,252557,622323,359195
2026-05-18T08:42:20Z,728,,239509,633507,355842
2026-05-18T08:43:21Z,789,,300581,707759,521500
2026-05-18T08:44:22Z,850,,305625,730377,543872
2026-05-18T08:45:24Z,912,,301989,669337,554540
2026-05-18T08:46:25Z,973,,298937,670144,558212
2026-05-18T08:47:26Z,1034,,301121,670760,559168
2026-05-18T08:48:27Z,1095,,302913,673442,560172
2026-05-18T08:49:29Z,1157,,299989,674406,561060
2026-05-18T08:50:30Z,1218,,301937,678468,566000
2026-05-18T08:51:31Z,1279,,304549,683671,568032
2026-05-18T08:52:33Z,1341,,307549,688145,568872
2026-05-18T08:53:34Z,1402,,303417,649718,563296
2026-05-18T08:54:35Z,1463,,308709,679262,586084
2026-05-18T08:55:36Z,1524,,307801,703690,586776
2026-05-18T08:56:38Z,1586,,310401,708575,588216
2026-05-18T08:57:39Z,1647,,306257,707007,588860
2026-05-18T08:58:40Z,1708,,308505,711183,589696
2026-05-18T08:59:41Z,1769,,310705,715268,599176
2026-05-18T09:00:43Z,1831,,313433,720259,568756
2026-05-18T09:01:44Z,1892,,309029,685158,569564
2026-05-18T09:02:45Z,1953,,312441,678733,527197
2026-05-18T09:03:46Z,2014,,316041,662756,577155
2026-05-18T09:04:48Z,2076,,307245,667911,577799
2026-05-18T09:05:49Z,2137,,302581,665039,578647
2026-05-18T09:06:50Z,2198,,304501,668539,579555
2026-05-18T09:07:52Z,2260,,307149,673238,580283
2026-05-18T09:08:53Z,2321,,309473,679226,581483
2026-05-18T09:09:54Z,2382,,305269,677462,582235
2026-05-18T09:10:56Z,2444,,306993,681098,585783
2026-05-18T09:11:57Z,2505,,309789,685790,586583
2026-05-18T09:12:58Z,2566,,316777,705904,554767
2026-05-18T09:13:59Z,2627,,314509,688380,592349
2026-05-18T09:15:01Z,2689,,309941,696989,593177
2026-05-18T09:16:02Z,2750,,312705,702141,594009
2026-05-18T09:17:03Z,2811,,314937,706227,595185
2026-05-18T09:18:05Z,2873,,311137,704489,613297
2026-05-18T09:19:06Z,2934,,312665,708006,616793
2026-05-18T09:20:07Z,2995,,315812,706476,617805
